Sample ID,Ground Truth,Predicted Label,Results
55,mutton_fried_noodles,mutton_fried_noodles,Correct
56,stinky_tofu,stinky_tofu,Correct
57,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
58,shrimp_rice,shrimp_rice,Correct
59,iron_egg,iron_egg,Correct
60,xiaolongbao,xiaolongbao,Correct
61,mochi,mochi,Correct
62,sishen_soup,sishen_soup,Correct
63,seafood_congee,seafood_congee,Correct
64,fried_eel_noodles,fried_eel_noodles,Correct
65,stir_fried_clams_with_basil,stir_fried_clams_with_basil,Correct
66,rice_dumpling,rice_dumpling,Correct
67,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
68,brown_sugar_cake,brown_sugar_cake,Correct
69,cold_noodles,cold_noodles,Correct
70,mutton_fried_noodles,mutton_fried_noodles,Correct
71,sliced_pork_bun,sliced_pork_bun,Correct
72,fried_instant_noodles,fried_instant_noodles,Correct
73,hot_sour_soup,hot_sour_soup,Correct
74,pineapple_cake,pineapple_cake,Correct
75,grilled_taiwanese_sausage,grilled_taiwanese_sausage,Correct
76,xiaolongbao,xiaolongbao,Correct
77,taiwanese_pork_ball_soup,taiwanese_pork_ball_soup,Correct
78,crab_migao,crab_migao,Correct
79,fried_rice_noodles,fried_rice_noodles,Correct
80,intestine_and_oyster_vermicelli,intestine_and_oyster_vermicelli,Correct
81,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
82,sugar_coated_sweet_potato,sugar_coated_sweet_potato,Correct
83,luwei,beef_noodles,Incorrect
84,saute_spring_onion_with_beef,saute_spring_onion_with_beef,Correct
85,deep_fried_pork_rib_and_radish_soup,deep_fried_pork_rib_and_radish_soup,Correct
86,sanxia_golden_croissants,sanxia_golden_croissants,Correct
87,egg_pancake_roll,egg_pancake_roll,Correct
88,taro_ball,taro_ball,Correct
89,mutton_fried_noodles,mutton_fried_noodles,Correct
90,stinky_tofu,stinky_tofu,Correct
91,scallion_pancake,scallion_pancake,Correct
92,fried_instant_noodles,fried_instant_noodles,Correct
93,grilled_corn,grilled_corn,Correct
94,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
95,caozaiguo,caozaiguo,Correct
96,papaya_milk,papaya_milk,Correct
97,sliced_pork_bun,sliced_pork_bun,Correct
98,hot_sour_soup,hot_sour_soup,Correct
99,sun_cake,sun_cake,Correct
100,luwei,luwei,Correct
101,papaya_milk,papaya_milk,Correct
102,fried-spanish_mackerel_thick_soup,fried-spanish_mackerel_thick_soup,Correct
103,tanghulu,tanghulu,Correct
104,beef_noodles,beef_noodles,Correct
105,rice_noodles_with_squid,rice_noodles_with_squid,Correct
106,seafood_congee,seafood_congee,Correct
107,nougat,nougat,Correct
108,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
109,potsticker,potsticker,Correct
110,deep-fried_chicken_cutlets,deep-fried_chicken_cutlets,Correct
111,mutton_hot_pot,ginger_duck_stew,Incorrect
112,chicken_mushroom_soup,chicken_mushroom_soup,Correct
113,oyster_fritter,oyster_fritter,Correct
114,nougat,nougat,Correct
115,grilled_corn,grilled_taiwanese_sausage,Incorrect
116,twist_roll,twist_roll,Correct
117,deep_fried_pork_rib_and_radish_soup,deep_fried_pork_rib_and_radish_soup,Correct
118,sishen_soup,sishen_soup,Correct
119,potsticker,potsticker,Correct
120,beef_soup,beef_soup,Correct
121,mochi,mochi,Correct
122,stir-fried_loofah_with_clam,stir-fried_loofah_with_clam,Correct
123,three-cup_chicken,three-cup_chicken,Correct
124,grilled_corn,grilled_corn,Correct
125,grilled_taiwanese_sausage,grilled_taiwanese_sausage,Correct
126,sailfish_stick,sailfish_stick,Correct
127,pineapple_cake,pineapple_cake,Correct
128,steam-fried_bun,steam-fried_bun,Correct
129,jerky,jerky,Correct
130,rice_noodles_with_squid,rice_noodles_with_squid,Correct
131,oyster_omelet,oyster_omelet,Correct
132,rice_with_soy-stewed_pork,rice_with_soy-stewed_pork,Correct
133,oyster_omelet,oyster_omelet,Correct
134,hakka_stir-fried,hakka_stir-fried,Correct
135,taiwanese_burrito,taiwanese_burrito,Correct
136,braised_napa_cabbage,braised_napa_cabbage,Correct
137,hung_rui_chen_sandwich,hung_rui_chen_sandwich,Correct
138,pork_intestines_fire_pot,pork_intestines_fire_pot,Correct
139,bubble_tea,bubble_tea,Correct
140,saute_spring_onion_with_beef,saute_spring_onion_with_beef,Correct
141,stir-fried_loofah_with_clam,stir-fried_loofah_with_clam,Correct
142,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
143,spicy_duck_blood,spicy_duck_blood,Correct
144,turkey_rice,turkey_rice,Correct
145,tube-shaped_migao,tube-shaped_migao,Correct
146,roasted_sweet_potato,roasted_sweet_potato,Correct
147,mutton_hot_pot,mutton_hot_pot,Correct
148,bitter_melon_with_salted_eggs,bitter_melon_with_salted_eggs,Correct
149,roasted_sweet_potato,roasted_sweet_potato,Correct
150,fried_instant_noodles,fried_instant_noodles,Correct
151,mutton_fried_noodles,mutton_fried_noodles,Correct
152,stir_fried_clams_with_basil,stir_fried_clams_with_basil,Correct
153,salty_fried_chicken_nuggets,salty_fried_chicken_nuggets,Correct
154,eight_treasure_shaved_ice,eight_treasure_shaved_ice,Correct
155,deep_fried_pork_rib_and_radish_soup,deep_fried_pork_rib_and_radish_soup,Correct
156,scrambled_eggs_with_shrimp,scrambled_eggs_with_shrimp,Correct
157,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
158,fish_head_casserole,fish_head_casserole,Correct
159,stir-fried_duck_meat_broth,stir-fried_duck_meat_broth,Correct
160,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
161,luwei,brown_sugar_cake,Incorrect
162,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
163,sweet_potato_ball,sweet_potato_ball,Correct
164,beef_noodles,beef_noodles,Correct
165,braised_napa_cabbage,braised_napa_cabbage,Correct
166,mung_bean_smoothie_milk,mung_bean_smoothie_milk,Correct
167,mung_bean_smoothie_milk,mung_bean_smoothie_milk,Correct
168,seafood_congee,braised_napa_cabbage,Incorrect
169,grilled_corn,grilled_corn,Correct
170,intestine_and_oyster_vermicelli,intestine_and_oyster_vermicelli,Correct
171,chicken_mushroom_soup,chicken_mushroom_soup,Correct
172,oyster_fritter,oyster_fritter,Correct
173,braised_pork_over_rice,steamed_cod_fish_with_crispy_bean,Incorrect
174,fried_eel_noodles,fried_eel_noodles,Correct
175,turkey_rice,turkey_rice,Correct
176,steam-fried_bun,steam-fried_bun,Correct
177,jerky,jerky,Correct
178,shrimp_rice,shrimp_rice,Correct
179,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
180,taiwanese_pork_ball_soup,taiwanese_pork_ball_soup,Correct
181,spicy_duck_blood,spicy_duck_blood,Correct
182,oyster_omelet,oyster_omelet,Correct
183,bitter_melon_with_salted_eggs,scrambled_eggs_with_shrimp,Incorrect
184,deep-fried_chicken_cutlets,sailfish_stick,Incorrect
185,three-cup_chicken,three-cup_chicken,Correct
186,beef_noodles,beef_noodles,Correct
187,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
188,intestine_and_oyster_vermicelli,intestine_and_oyster_vermicelli,Correct
189,hakka_stir-fried,hakka_stir-fried,Correct
190,steamed_taro_cake,steamed_taro_cake,Correct
191,stir_fried_clams_with_basil,stir_fried_clams_with_basil,Correct
192,stinky_tofu,stinky_tofu,Correct
193,rice_noodles_with_squid,rice_noodles_with_squid,Correct
194,potsticker,potsticker,Correct
195,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
196,fried_rice_noodles,fried_rice_noodles,Correct
197,luwei,luwei,Correct
198,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
199,dried_shredded_squid,dried_shredded_squid,Correct
200,eight_treasure_shaved_ice,eight_treasure_shaved_ice,Correct
201,stir-fried_duck_meat_broth,stir-fried_duck_meat_broth,Correct
202,xiaolongbao,xiaolongbao,Correct
203,stir-fried_duck_meat_broth,stir-fried_duck_meat_broth,Correct
204,xiaolongbao,xiaolongbao,Correct
205,grilled_taiwanese_sausage,grilled_taiwanese_sausage,Correct
206,taiwanese_burrito,egg_pancake_roll,Incorrect
207,stinky_tofu,stinky_tofu,Correct
208,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
209,wheel_pie,wheel_pie,Correct
210,coffin_toast,coffin_toast,Correct
211,nougat,nougat,Correct
212,deep-fried_chicken_cutlets,deep-fried_chicken_cutlets,Correct
213,xiaolongbao,xiaolongbao,Correct
214,salty_fried_chicken_nuggets,salty_fried_chicken_nuggets,Correct
215,ginger_duck_stew,ginger_duck_stew,Correct
216,roasted_sweet_potato,roasted_sweet_potato,Correct
217,sailfish_stick,sailfish_stick,Correct
218,sailfish_stick,sailfish_stick,Correct
219,taiwanese_pork_ball_soup,taiwanese_pork_ball_soup,Correct
220,meat_dumpling_in_chili_oil,meat_dumpling_in_chili_oil,Correct
221,steamed_cod_fish_with_crispy_bean,steamed_cod_fish_with_crispy_bean,Correct
222,potsticker,scallion_pancake,Incorrect
223,grilled_taiwanese_sausage,tanghulu,Incorrect
224,egg_pancake_roll,sailfish_stick,Incorrect
225,meat_dumpling_in_chili_oil,eight_treasure_shaved_ice,Incorrect
226,sugar_coated_sweet_potato,sugar_coated_sweet_potato,Correct
227,steam-fried_bun,steam-fried_bun,Correct
228,bawan,bawan,Correct
229,steamed_cod_fish_with_crispy_bean,steamed_cod_fish_with_crispy_bean,Correct
230,seafood_congee,seafood_congee,Correct
231,meat_dumpling_in_chili_oil,meat_dumpling_in_chili_oil,Correct
232,taiwanese_burrito,taiwanese_burrito,Correct
233,taiwanese_sausage_in_rice_bun,taiwanese_sausage_in_rice_bun,Correct
234,iron_egg,iron_egg,Correct
235,rice_with_soy-stewed_pork,rice_with_soy-stewed_pork,Correct
236,rice_noodles_with_squid,stir-fried_calamari_broth,Incorrect
237,stir_fried_clams_with_basil,stir_fried_clams_with_basil,Correct
238,stir-fried_loofah_with_clam,stir-fried_loofah_with_clam,Correct
239,yolk_pastry,yolk_pastry,Correct
240,mung_bean_smoothie_milk,mung_bean_smoothie_milk,Correct
241,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
242,mochi,mochi,Correct
243,taiwanese_burrito,taiwanese_burrito,Correct
244,papaya_milk,papaya_milk,Correct
245,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
246,hakka_stir-fried,hakka_stir-fried,Correct
247,tube-shaped_migao,tube-shaped_migao,Correct
248,tangyuan,tangyuan,Correct
249,hot_sour_soup,hot_sour_soup,Correct
250,yolk_pastry,yolk_pastry,Correct
251,fried_instant_noodles,fried_instant_noodles,Correct
252,braised_napa_cabbage,braised_napa_cabbage,Correct
253,tanghulu,tanghulu,Correct
254,deep-fried_chicken_cutlets,deep-fried_chicken_cutlets,Correct
255,jelly_of_gravey_and_chicken_feet_skin,jelly_of_gravey_and_chicken_feet_skin,Correct
256,sweet_potato_ball,sweet_potato_ball,Correct
257,sliced_pork_bun,sliced_pork_bun,Correct
258,braised_pork_over_rice,braised_pork_over_rice,Correct
259,fried_instant_noodles,fried_instant_noodles,Correct
260,mochi,mochi,Correct
261,fried_rice_noodles,fried_rice_noodles,Correct
262,fried-spanish_mackerel_thick_soup,fried-spanish_mackerel_thick_soup,Correct
263,chicken_mushroom_soup,chicken_mushroom_soup,Correct
264,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
265,hakka_stir-fried,hakka_stir-fried,Correct
266,hot_sour_soup,hot_sour_soup,Correct
267,chinese_pickled_cucumber,chinese_pickled_cucumber,Correct
268,beef_noodles,beef_noodles,Correct
269,fried-spanish_mackerel_thick_soup,fried-spanish_mackerel_thick_soup,Correct
270,papaya_milk,papaya_milk,Correct
271,night_market_steak,night_market_steak,Correct
272,rice_with_soy-stewed_pork,rice_with_soy-stewed_pork,Correct
273,deep-fried_chicken_cutlets,deep-fried_chicken_cutlets,Correct
274,seafood_congee,seafood_congee,Correct
275,sesame_oil_chicken_soup,mutton_hot_pot,Incorrect
276,stir-fried_calamari_broth,stir-fried_pork_intestine_with_ginger,Incorrect
277,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
278,mochi,steam-fried_bun,Incorrect
279,mutton_fried_noodles,mutton_fried_noodles,Correct
280,scallion_pancake,scallion_pancake,Correct
281,luwei,luwei,Correct
282,taro_ball,taro_ball,Correct
283,steamed_taro_cake,steamed_taro_cake,Correct
284,sesame_oil_chicken_soup,nabeyaki_egg_noodles,Incorrect
285,tube-shaped_migao,tube-shaped_migao,Correct
286,eight_treasure_shaved_ice,eight_treasure_shaved_ice,Correct
287,rice_noodles_with_squid,rice_noodles_with_squid,Correct
288,fish_head_casserole,fish_head_casserole,Correct
289,grilled_corn,grilled_corn,Correct
290,grilled_taiwanese_sausage,grilled_taiwanese_sausage,Correct
291,nougat,nougat,Correct
292,scrambled_eggs_with_tomatoes,scrambled_eggs_with_tomatoes,Correct
293,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
294,cold_noodles,cold_noodles,Correct
295,sailfish_stick,sailfish_stick,Correct
296,twist_roll,twist_roll,Correct
297,potsticker,turnip_cake,Incorrect
298,ginger_duck_stew,ginger_duck_stew,Correct
299,rice_dumpling,rice_dumpling,Correct
300,tangyuan,tangyuan,Correct
301,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
302,oyster_fritter,oyster_fritter,Correct
303,beef_noodles,beef_noodles,Correct
304,hakka_stir-fried,hakka_stir-fried,Correct
305,wheel_pie,wheel_pie,Correct
306,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
307,sanxia_golden_croissants,sanxia_golden_croissants,Correct
308,steam-fried_bun,steam-fried_bun,Correct
309,night_market_steak,night_market_steak,Correct
310,beef_noodles,beef_noodles,Correct
311,yolk_pastry,yolk_pastry,Correct
312,scrambled_eggs_with_tomatoes,scrambled_eggs_with_tomatoes,Correct
313,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
314,peanut_brittle,peanut_brittle,Correct
315,sliced_pork_bun,sliced_pork_bun,Correct
316,fish_head_casserole,fish_head_casserole,Correct
317,steamed_taro_cake,steamed_taro_cake,Correct
318,bubble_tea,bubble_tea,Correct
319,tangyuan,tangyuan,Correct
320,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
321,roasted_sweet_potato,roasted_sweet_potato,Correct
322,steamed_cod_fish_with_crispy_bean,steamed_cod_fish_with_crispy_bean,Correct
323,preserved_egg_tofu,preserved_egg_tofu,Correct
324,three-cup_chicken,three-cup_chicken,Correct
325,steamed_cod_fish_with_crispy_bean,steamed_cod_fish_with_crispy_bean,Correct
326,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
327,night_market_steak,sweet_and_sour_pork_ribs,Incorrect
328,oyster_omelet,oyster_omelet,Correct
329,fish_head_casserole,fish_head_casserole,Correct
330,steamed_cod_fish_with_crispy_bean,steamed_cod_fish_with_crispy_bean,Correct
331,sweet_potato_ball,sweet_potato_ball,Correct
332,luwei,luwei,Correct
333,stinky_tofu,taiwanese_burrito,Incorrect
334,sailfish_stick,sailfish_stick,Correct
335,mung_bean_smoothie_milk,mung_bean_smoothie_milk,Correct
336,crab_migao,crab_migao,Correct
337,sweet_potato_ball,sweet_potato_ball,Correct
338,fish_head_casserole,fish_head_casserole,Correct
339,sliced_pork_bun,sliced_pork_bun,Correct
340,eight_treasure_shaved_ice,eight_treasure_shaved_ice,Correct
341,brown_sugar_cake,brown_sugar_cake,Correct
342,saute_spring_onion_with_beef,saute_spring_onion_with_beef,Correct
343,chicken_mushroom_soup,chicken_mushroom_soup,Correct
344,spicy_duck_blood,spicy_duck_blood,Correct
345,braised_napa_cabbage,mutton_hot_pot,Incorrect
346,taiwanese_burrito,taiwanese_burrito,Correct
347,peanut_brittle,peanut_brittle,Correct
348,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
349,tube-shaped_migao,tube-shaped_migao,Correct
350,scrambled_eggs_with_shrimp,scrambled_eggs_with_shrimp,Correct
351,night_market_steak,night_market_steak,Correct
352,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
353,fried_instant_noodles,fried_instant_noodles,Correct
354,sliced_pork_bun,sliced_pork_bun,Correct
355,rice_noodles_with_squid,rice_noodles_with_squid,Correct
356,chinese_pickled_cucumber,chinese_pickled_cucumber,Correct
357,peanut_brittle,peanut_brittle,Correct
358,deep_fried_pork_rib_and_radish_soup,deep_fried_pork_rib_and_radish_soup,Correct
359,papaya_milk,papaya_milk,Correct
360,intestine_and_oyster_vermicelli,intestine_and_oyster_vermicelli,Correct
361,three-cup_chicken,three-cup_chicken,Correct
362,coffin_toast,brown_sugar_cake,Incorrect
363,seafood_congee,seafood_congee,Correct
364,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
365,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
366,steam-fried_bun,steam-fried_bun,Correct
367,grilled_corn,grilled_corn,Correct
368,beef_soup,beef_soup,Correct
369,luwei,luwei,Correct
370,taiwanese_sausage_in_rice_bun,taiwanese_sausage_in_rice_bun,Correct
371,pig's_blood_soup,pig's_blood_soup,Correct
372,preserved_egg_tofu,preserved_egg_tofu,Correct
373,scrambled_eggs_with_shrimp,scrambled_eggs_with_shrimp,Correct
374,tube-shaped_migao,tube-shaped_migao,Correct
375,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
376,rice_noodles_with_squid,rice_noodles_with_squid,Correct
377,fried_eel_noodles,fried_eel_noodles,Correct
378,fried_eel_noodles,fried_eel_noodles,Correct
379,fried-spanish_mackerel_thick_soup,fried-spanish_mackerel_thick_soup,Correct
380,turkey_rice,turkey_rice,Correct
381,crab_migao,crab_migao,Correct
382,sweet_and_sour_pork_ribs,kung-pao_chicken,Incorrect
383,hung_rui_chen_sandwich,hung_rui_chen_sandwich,Correct
384,steam-fried_bun,steam-fried_bun,Correct
385,fried-spanish_mackerel_thick_soup,fried-spanish_mackerel_thick_soup,Correct
386,hakka_stir-fried,hakka_stir-fried,Correct
387,bubble_tea,bubble_tea,Correct
388,nabeyaki_egg_noodles,nabeyaki_egg_noodles,Correct
389,tangyuan,tangyuan,Correct
390,jelly_of_gravey_and_chicken_feet_skin,jelly_of_gravey_and_chicken_feet_skin,Correct
391,kung-pao_chicken,braised_pork_over_rice,Incorrect
392,oyster_fritter,oyster_fritter,Correct
393,bitter_melon_with_salted_eggs,bitter_melon_with_salted_eggs,Correct
394,sun_cake,sun_cake,Correct
395,xiaolongbao,xiaolongbao,Correct
396,scrambled_eggs_with_shrimp,scrambled_eggs_with_shrimp,Correct
397,sweet_potato_ball,sweet_potato_ball,Correct
398,sailfish_stick,sailfish_stick,Correct
399,sugar_coated_sweet_potato,sugar_coated_sweet_potato,Correct
400,sugar_coated_sweet_potato,sugar_coated_sweet_potato,Correct
401,caozaiguo,caozaiguo,Correct
402,chinese_pickled_cucumber,chinese_pickled_cucumber,Correct
403,grilled_corn,grilled_corn,Correct
404,shrimp_rice,shrimp_rice,Correct
405,scallion_pancake,scallion_pancake,Correct
406,night_market_steak,night_market_steak,Correct
407,ginger_duck_stew,ginger_duck_stew,Correct
408,sishen_soup,sishen_soup,Correct
409,milkfish_belly_congee,milkfish_belly_congee,Correct
410,three-cup_chicken,three-cup_chicken,Correct
411,steamed_cod_fish_with_crispy_bean,steamed_cod_fish_with_crispy_bean,Correct
412,stewed_pig's_knuckles,stewed_pig's_knuckles,Correct
413,hakka_stir-fried,hakka_stir-fried,Correct
414,eight_treasure_shaved_ice,eight_treasure_shaved_ice,Correct
415,coffin_toast,coffin_toast,Correct
416,sugar_coated_sweet_potato,sugar_coated_sweet_potato,Correct
417,potsticker,potsticker,Correct
418,tanghulu,tanghulu,Correct
419,fried_eel_noodles,fried_eel_noodles,Correct
420,coffin_toast,coffin_toast,Correct
421,sun_cake,sun_cake,Correct
422,sesame_oil_chicken_soup,ginger_duck_stew,Incorrect
423,ginger_duck_stew,ginger_duck_stew,Correct
424,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
425,mochi,mochi,Correct
426,mung_bean_smoothie_milk,mung_bean_smoothie_milk,Correct
427,turnip_cake,steamed_taro_cake,Incorrect
428,scrambled_eggs_with_tomatoes,scrambled_eggs_with_tomatoes,Correct
429,preserved_egg_tofu,preserved_egg_tofu,Correct
430,fried_eel_noodles,fried_eel_noodles,Correct
431,jerky,jerky,Correct
432,deep_fried_pork_rib_and_radish_soup,deep_fried_pork_rib_and_radish_soup,Correct
433,mung_bean_smoothie_milk,mung_bean_smoothie_milk,Correct
434,fried_instant_noodles,fried_instant_noodles,Correct
435,seafood_congee,seafood_congee,Correct
436,scrambled_eggs_with_shrimp,scrambled_eggs_with_shrimp,Correct
437,sun_cake,sun_cake,Correct
438,braised_pork_over_rice,braised_pork_over_rice,Correct
439,sweet_and_sour_pork_ribs,sweet_and_sour_pork_ribs,Correct
440,mutton_fried_noodles,mutton_fried_noodles,Correct
441,crab_migao,crab_migao,Correct
442,grilled_taiwanese_sausage,grilled_taiwanese_sausage,Correct
443,mochi,mochi,Correct
444,mutton_hot_pot,mutton_hot_pot,Correct
445,mutton_hot_pot,ginger_duck_stew,Incorrect
446,sliced_pork_bun,sliced_pork_bun,Correct
447,eight_treasure_shaved_ice,braised_pork_over_rice,Incorrect
448,scallion_pancake,scallion_pancake,Correct
449,coffin_toast,coffin_toast,Correct
450,grilled_corn,grilled_corn,Correct
451,bubble_tea,bubble_tea,Correct
452,potsticker,potsticker,Correct
453,meat_dumpling_in_chili_oil,meat_dumpling_in_chili_oil,Correct
454,stir-fried_duck_meat_broth,stir-fried_duck_meat_broth,Correct
455,oyster_fritter,oyster_fritter,Correct
456,wheel_pie,wheel_pie,Correct
457,steamed_taro_cake,steamed_taro_cake,Correct
458,turnip_cake,turnip_cake,Correct
459,beef_soup,beef_soup,Correct
460,roasted_sweet_potato,roasted_sweet_potato,Correct
461,stir-fried_calamari_broth,stir-fried_calamari_broth,Correct
462,pig's_blood_soup,pig's_blood_soup,Correct
463,grilled_taiwanese_sausage,grilled_taiwanese_sausage,Correct
464,mung_bean_smoothie_milk,mung_bean_smoothie_milk,Correct
465,saute_spring_onion_with_beef,saute_spring_onion_with_beef,Correct
466,sweet_and_sour_pork_ribs,saute_spring_onion_with_beef,Incorrect
467,chinese_pickled_cucumber,chinese_pickled_cucumber,Correct
468,oyster_fritter,oyster_fritter,Correct
469,oyster_omelet,oyster_fritter,Incorrect
470,stir-fried_duck_meat_broth,stir-fried_duck_meat_broth,Correct
471,iron_egg,iron_egg,Correct
472,crab_migao,crab_migao,Correct
473,tangyuan,tangyuan,Correct
474,taro_ball,taro_ball,Correct
475,seafood_congee,seafood_congee,Correct
476,grilled_taiwanese_sausage,grilled_taiwanese_sausage,Correct
477,beef_noodles,beef_noodles,Correct
478,tube-shaped_migao,tube-shaped_migao,Correct
479,mung_bean_smoothie_milk,mung_bean_smoothie_milk,Correct
480,turkey_rice,turkey_rice,Correct
481,night_market_steak,night_market_steak,Correct
482,sesame_oil_chicken_soup,ginger_duck_stew,Incorrect
483,oyster_fritter,oyster_fritter,Correct
484,bitter_melon_with_salted_eggs,bitter_melon_with_salted_eggs,Correct
485,bitter_melon_with_salted_eggs,bitter_melon_with_salted_eggs,Correct
486,beef_soup,beef_soup,Correct
487,mutton_hot_pot,mutton_hot_pot,Correct
488,luwei,luwei,Correct
489,beef_noodles,beef_noodles,Correct
490,salty_fried_chicken_nuggets,salty_fried_chicken_nuggets,Correct
491,mochi,yolk_pastry,Incorrect
492,pork_intestines_fire_pot,stir-fried_pork_intestine_with_ginger,Incorrect
493,sesame_oil_chicken_soup,sesame_oil_chicken_soup,Correct
494,deep_fried_pork_rib_and_radish_soup,deep_fried_pork_rib_and_radish_soup,Correct
495,sliced_pork_bun,sliced_pork_bun,Correct
496,ginger_duck_stew,ginger_duck_stew,Correct
497,taiwanese_pork_ball_soup,taiwanese_pork_ball_soup,Correct
498,meat_dumpling_in_chili_oil,meat_dumpling_in_chili_oil,Correct
499,sweet_potato_ball,sweet_potato_ball,Correct
500,roasted_sweet_potato,roasted_sweet_potato,Correct
501,salty_fried_chicken_nuggets,luwei,Incorrect
502,deep-fried_chicken_cutlets,deep-fried_chicken_cutlets,Correct
503,intestine_and_oyster_vermicelli,intestine_and_oyster_vermicelli,Correct
504,tangyuan,taiwanese_pork_ball_soup,Incorrect
505,rice_noodles_with_squid,rice_noodles_with_squid,Correct
506,braised_pork_over_rice,scrambled_eggs_with_tomatoes,Incorrect
507,scrambled_eggs_with_tomatoes,scrambled_eggs_with_tomatoes,Correct
508,cold_noodles,cold_noodles,Correct
